"","Treated_Mean_Nucleus_Surface_Area_microns","Treated_Mean_Nucleus_Volume_microns","Treated_Mean_Cell_Surface_Area_microns","Treated_Mean_Cell_Volume_microns","Control_Mean_Nucleus_Surface_Area_microns","Control_Mean_Nucleus_Volume_microns","Control_Mean_Cell_Surface_Area_microns","Control_Mean_Cell_Volume_microns"
"1",1378.96198431205,1817.80676232001,4179.04166523844,7446.35371160567,1650.12464648892,2097.19276665994,5890.31296042724,12655.4464707367
"2",1340.29879559306,1518.53950555416,4301.90660641567,7141.80374393569,1908.91287885334,2892.56539616108,7114.36101562126,15612.1267921061
"3",1532.17397680956,2039.28089732718,3295.44091570359,5894.74883490062,2044.82065326629,2735.66341394563,7476.83208154913,14601.8926505023
"4",1502.80169983838,1830.87454760093,3553.12605739899,4995.85004727443,1678.2964854445,2138.30622299456,4849.56520788313,7756.77853526136
"5",1265.41261699934,1671.58640938994,3531.00250676068,6037.77293247081,1410.68937575465,1868.48224405858,3860.80594399389,5952.05494911013
"6",1485.99322315394,1760.7214375943,5192.77312532537,8144.00572174607,1277.95116613409,1780.90228887647,4042.47303461802,7356.15254464882
"7",1467.23608643423,1913.33371212338,6148.32931452737,13115.8621033962,1567.97761455328,1933.99014577828,4522.52106674297,6804.84162554403
"8",1665.96572020471,2059.0951447626,4061.16268415665,6570.18121778825,1543.75629047084,2287.01429025046,5053.78757425753,9702.37585586204
"9",1425.44067614924,1931.42620064511,4222.23160110615,6888.79040258061,1291.98164824705,1921.39031027826,4091.20885953453,8476.03510849413
"10",1341.71346515539,1514.39155528245,3139.62880027164,4276.23655455844,1705.99626807248,2401.89244258252,5067.64906481807,9509.6667842926
"11",NA,NA,NA,NA,1313.3086529271,1476.24868005219,5319.81107325702,7537.14036715168
"12",1520.26215136569,1770.23650987032,4130.89027809459,6135.69294839492,1502.19263986008,2183.09970041134,6757.75169792768,12011.5605831308
"13",NA,NA,NA,NA,1956.9740113459,3185.18794519198,7108.48325108376,17225.762440886
"14",1466.27698726468,2106.05080451395,4596.44872076502,9946.16340100079,1487.84575189566,2201.42552917462,6329.39926121489,16218.8841349252
"15",1400.57438487643,1959.2432751847,5485.34010464046,12779.3187153854,1147.14030019491,1535.14336726235,4659.1132181417,8584.27437468915
"16",1325.14129461063,1804.34032298328,5481.50107761407,11197.180398296,1983.04719038418,2378.74183325507,5601.83861433876,14032.294204294
"17",1340.8679460777,1791.46600114044,4927.61469560023,10924.6732768429,2191.34162762017,2782.18592847859,7098.23968336228,17831.3175424121
"18",1712.78399870949,2391.13105206812,7902.44762560286,17533.134321543,2010.60816268271,2442.70882157186,7398.5419345548,12046.239030296
"19",1742.65166640939,1872.88369010815,5473.28174609958,9656.61599945664,1500.41611150139,1877.45144361269,6085.83122678694,11831.6032929249
"20",1417.04289592654,1691.77790120584,5880.22684937014,11179.3324741516,1328.00377870323,1750.26069480395,5452.55065107552,11860.8519330389
