"","Control_Mean_Nucleus_Surface_Area_microns_Versus_Distance","Treated_Mean_Nucleus_Surface_Area_microns_Versus_Distance"
"1",1716.58664878566,3667.91507770248
"2",15344.2819709297,15286.0696579259
"3",13560.6891976394,18537.6461804214
"4",20925.4991817165,20263.4272942536
"5",24740.3353613319,30599.2658559096
"6",22751.489029164,29807.2799427837
"7",27199.511637511,25805.7577984326
"8",26699.5757741155,31498.1636387732
"9",22125.5424309115,29072.1243394664
"10",22440.5646800634,22580.1374766762
"11",24425.1343831873,32368.1648661762
